team,Avg Points Per Game,Avg Poss Per Game
Vermont Catamounts,72.52,66.79
Vermont State - Johnson Badgers,57.0,70.35
Villanova Wildcats,70.69,66.8
Virginia Cavaliers,63.53,62.79
Virginia Tech Hokies,74.97,68.48
Virginia-Lynchburg Dragons,58.43,81.69
Voorhees Tigers,57.0,71.77
Wagner Seahawks,63.87,64.86
Wake Forest Demon Deacons,78.47,69.98
Waldorf College Warriors,71.0,74.89
Washington Huskies,80.81,74.59
Washington State Cougars,75.0,68.46
Weber State Wildcats,75.23,68.49
West Virginia Mountaineers,69.32,70.63
Westcliff Warriors,57.5,76.66
Western Carolina Catamounts,76.87,70.66
Western Illinois Leathernecks,69.22,68.64
Western Kentucky Hilltoppers,80.66,77.22
Western Michigan Broncos,71.81,70.29
Western New Mexico Mustangs,43.0,67.03
Wichita State Shockers,73.18,71.44
Wilberforce Bulldogs,75.0,98.98
William & Mary Tribe,70.28,68.17
Winthrop Eagles,78.03,71.37
Wisconsin Badgers,74.71,67.41
Wisconsin-Stout Blue Devils,73.0,78.77
Wofford Terriers,75.06,69.55
Wright State Raiders,86.13,74.23
Wyoming Cowboys,72.84,69.58
Xavier (LA) Gold Nuggets,62.0,70.05
Xavier Musketeers,76.34,72.97
Yale Bulldogs,75.6,68.05
Youngstown State Penguins,81.55,72.56
