Player,SG OTT,SG OTT Percentile,Driving Distance,Distance Percentile,Driving Accuracy,Accuracy Percentile,Good Drive %,GD % Percentile,SG Approach,SG App. Percentile,GIR %,GIR Percentile,RTP Approach 175-200,RTP Approach 175-200 Percentile,RTP Approach 175-200 R,RTP Approach 175-200 R Percentile,RTP Approach 125-150,RTP Approach 125-150 Percentile,RTP Approach 125-150 R,RTP Approach 125-150 R Percentile,SG ATG,SG ATG Percentile,Scrambling %,Srambling % Percentile,RTP Scrambling Rough,RTP Scrambling Rough Percentile,SG Putting,SG Putting Percentile,Putting Avg,Putting Avg Percentile,3 Putt %,3 Putt % Percentile,Total Percentile,Rank
Trey Mullinax,0.332,0.82,313.6,0.918,0.5285,0.087,0.8023,0.401,-0.169,0.282,0.6842,0.803,0.014,0.46399999999999997,-0.042,0.967,-0.041,0.17000000000000004,0.143,0.356,-0.169,0.211,0.5926,0.371,0.438,0.532,0.23,0.755,1.739,0.667,0.0205,0.7969999999999999,0.5444625000000001,59.0
Billy Horschel,-0.04,0.353,298.3,0.349,0.5733,0.36,0.7914,0.242,0.06,0.521,0.6477,0.36,0.088,0.119,0.0,0.944,-0.085,0.345,-0.095,0.961,0.072,0.57,0.639,0.83,0.5,0.272,0.211,0.739,1.731,0.771,0.0175,0.888,0.5433375,60.0
J.T. Poston,0.042,0.451,294.2,0.153,0.6512,0.857,0.8214,0.655,0.131,0.576,0.6519,0.431,-0.053,0.865,0.185,0.565,-0.066,0.26,-0.04,0.859,0.224,0.804,0.6064,0.513,0.471,0.351,-0.025,0.402,1.746,0.5469999999999999,0.0269,0.41900000000000004,0.5424500000000001,61.0
Taylor Pendrith,0.648,0.967,308.9,0.836,0.6097,0.639,0.8355,0.802,0.375,0.809,0.7024,0.945,-0.121,0.989,0.16,0.611,-0.049,0.20399999999999996,-0.059,0.893,-0.147,0.244,0.56,0.103,0.54,0.09699999999999998,-0.229,0.201,1.773,0.235,0.0327,0.18100000000000005,0.5404824999999999,62.0
Jake Knapp,-0.093,0.288,308.4,0.792,0.5236,0.065,0.7866,0.197,0.166,0.608,0.6626,0.612,-0.026,0.718,0.119,0.729,-0.147,0.712,0.044,0.6619999999999999,-0.027,0.385,0.6168,0.644,0.536,0.10799999999999998,0.354,0.858,1.736,0.7050000000000001,0.0253,0.5369999999999999,0.5399525000000001,63.0
Nico Echavarria,-0.128,0.266,294.4,0.158,0.6276,0.765,0.8255,0.7,0.064,0.527,0.6485,0.377,-0.042,0.8029999999999999,0.125,0.718,-0.118,0.56,0.192,0.20999999999999996,-0.503,0.032,0.5968,0.409,0.436,0.5369999999999999,0.746,0.972,1.717,0.88,0.0227,0.712,0.5373575,64.0
Zach Johnson,-0.263,0.184,284.3,0.021,0.6741,0.923,0.8483,0.92,-0.231,0.228,0.6513,0.426,0.076,0.15300000000000002,-0.083,0.989,-0.136,0.6619999999999999,0.333,0.029000000000000026,0.048,0.527,0.5769,0.229,0.364,0.859,0.489,0.923,1.741,0.629,0.0096,1.0,0.5364899999999999,65.0
Denny McCarthy,-0.187,0.211,295.0,0.185,0.6091,0.633,0.7944,0.276,0.146,0.586,0.6538,0.464,0.0,0.611,0.294,0.243,-0.159,0.775,0.08,0.492,0.004,0.461,0.6447,0.863,0.434,0.565,0.619,0.967,1.754,0.43799999999999994,0.0208,0.786,0.53629,66.0
Matti Schmid,0.097,0.532,312.7,0.907,0.5487,0.191,0.8083,0.497,0.284,0.717,0.6803,0.77,-0.117,0.978,0.294,0.243,-0.101,0.43600000000000005,0.028,0.718,-0.353,0.081,0.5709,0.18,0.449,0.475,0.164,0.657,1.745,0.585,0.0238,0.673,0.5348149999999999,67.0
Brandt Snedeker,-0.354,0.135,284.9,0.032,0.673,0.918,0.8422,0.887,-0.374,0.135,0.6287,0.158,0.101,0.07399999999999995,0.214,0.475,-0.238,0.967,0.2,0.19299999999999995,-0.039,0.369,0.6339,0.781,0.32,0.961,0.76,0.989,1.728,0.815,0.0219,0.763,0.53394,68.0
Stephan Jaeger,-0.263,0.184,304.3,0.606,0.5349,0.098,0.7849,0.18,0.307,0.755,0.6444,0.316,-0.03,0.746,0.083,0.7969999999999999,-0.13,0.628,0.075,0.515,0.22,0.798,0.5729,0.202,0.549,0.08499999999999996,0.312,0.836,1.718,0.875,0.0194,0.837,0.5334300000000001,69.0
Carson Young,0.318,0.804,295.3,0.202,0.6661,0.896,0.8404,0.853,0.006,0.445,0.6679,0.693,-0.055,0.882,0.278,0.272,-0.025,0.125,0.053,0.628,-0.289,0.119,0.6388,0.819,0.402,0.718,-0.002,0.429,1.771,0.252,0.0278,0.396,0.531365,70.0
Kris Ventura,0.11,0.559,309.5,0.846,0.5915,0.469,0.806,0.468,-0.172,0.277,0.663,0.628,0.038,0.351,-0.043,0.972,-0.169,0.8200000000000001,0.143,0.356,-0.261,0.141,0.6165,0.639,0.408,0.673,0.186,0.701,1.772,0.241,0.0266,0.44699999999999995,0.5305025,71.0
Victor Perez,0.298,0.771,302.6,0.546,0.6573,0.879,0.8692,0.983,0.337,0.766,0.697,0.918,0.096,0.09699999999999998,0.158,0.622,-0.037,0.16400000000000003,0.08,0.492,-0.325,0.097,0.6083,0.53,0.485,0.31100000000000005,0.1,0.559,1.777,0.17000000000000004,0.0253,0.5369999999999999,0.5264775,72.0
Steven Fisk,0.413,0.869,311.3,0.874,0.6065,0.606,0.8419,0.881,0.351,0.798,0.7099,0.972,0.031,0.379,0.136,0.673,-0.088,0.356,0.303,0.04600000000000004,0.093,0.608,0.5957,0.404,0.42,0.633,-0.575,0.048,1.807,0.02200000000000002,0.0321,0.21499999999999997,0.525745,73.0
Rico Hoey,0.662,0.972,305.5,0.683,0.6714,0.907,0.8634,0.971,0.252,0.679,0.7044,0.961,-0.066,0.91,0.261,0.31699999999999995,-0.054,0.22099999999999997,0.138,0.368,-0.01,0.434,0.5839,0.284,0.426,0.605,-0.874,0.01,1.8,0.08199999999999996,0.0417,0.02300000000000002,0.523465,74.0
Will Zalatoris,0.137,0.576,299.3,0.404,0.6196,0.71,0.8375,0.836,0.453,0.864,0.6931,0.89,0.023,0.42400000000000004,0.059,0.848,-0.19,0.888,0.067,0.56,0.084,0.592,0.5701,0.174,0.529,0.13,-0.519,0.07,1.766,0.32299999999999995,0.0306,0.266,0.522115,75.0
Jacob Bridgeman,-0.068,0.331,297.9,0.311,0.571,0.344,0.8014,0.378,0.032,0.478,0.6256,0.131,0.058,0.21499999999999997,0.143,0.6619999999999999,-0.196,0.904,0.051,0.633,-0.03,0.38,0.635,0.803,0.349,0.921,0.617,0.961,1.739,0.667,0.0311,0.243,0.5220625000000001,76.0
Tom Hoge,-0.528,0.048,293.2,0.125,0.6066,0.617,0.8051,0.451,0.514,0.902,0.6274,0.136,0.066,0.17600000000000005,0.133,0.69,-0.121,0.571,0.04,0.6779999999999999,0.027,0.5,0.6427,0.846,0.435,0.5489999999999999,0.144,0.625,1.728,0.815,0.0249,0.577,0.520815,77.0
Davis Riley,-0.368,0.125,306.3,0.721,0.5506,0.207,0.7947,0.282,-0.426,0.097,0.6432,0.306,0.069,0.17000000000000004,0.08,0.8029999999999999,-0.171,0.831,0.16,0.277,0.241,0.82,0.5719,0.185,0.351,0.904,0.27,0.815,1.706,0.924,0.0182,0.871,0.518985,78.0
Ben Kohles,0.082,0.489,291.9,0.098,0.7188,0.983,0.8569,0.943,0.057,0.516,0.6894,0.846,-0.009,0.645,0.222,0.43000000000000005,-0.078,0.31699999999999995,0.071,0.5369999999999999,-0.154,0.239,0.6301,0.754,0.433,0.577,-0.128,0.293,1.753,0.45999999999999996,0.0303,0.277,0.5189275,79.0
Tony Finau,0.19,0.635,303.7,0.595,0.5875,0.437,0.8134,0.542,0.041,0.5,0.6576,0.519,-0.019,0.673,0.174,0.5880000000000001,-0.146,0.7070000000000001,0.038,0.6839999999999999,0.177,0.733,0.5861,0.316,0.467,0.385,-0.011,0.423,1.752,0.46499999999999997,0.034,0.15900000000000003,0.5188050000000001,80.0
Sami Valimaki,-0.326,0.146,298.5,0.36,0.5861,0.42,0.8027,0.418,0.437,0.842,0.6576,0.519,0.045,0.30600000000000005,0.129,0.7010000000000001,-0.169,0.8200000000000001,0.227,0.13,-0.134,0.282,0.6026,0.464,0.409,0.6619999999999999,0.557,0.956,1.745,0.585,0.0238,0.673,0.51879,81.0
Emiliano Grillo,0.059,0.456,299.2,0.398,0.6555,0.874,0.8343,0.785,0.381,0.815,0.6567,0.508,0.023,0.42400000000000004,0.304,0.21499999999999997,-0.178,0.848,0.115,0.402,-0.481,0.038,0.5631,0.12,0.51,0.22099999999999997,0.134,0.597,1.738,0.6890000000000001,0.0144,0.978,0.51434,82.0
Min Woo Lee,0.141,0.581,314.7,0.945,0.5474,0.174,0.7925,0.259,-0.289,0.184,0.649,0.382,-0.022,0.69,0.19,0.5429999999999999,-0.125,0.599,0.053,0.628,0.381,0.929,0.6007,0.437,0.512,0.20999999999999996,0.257,0.788,1.753,0.45999999999999996,0.029,0.30000000000000004,0.5111724999999999,83.0
Rickie Fowler,0.217,0.673,303.4,0.584,0.6177,0.699,0.8073,0.474,-0.026,0.418,0.6418,0.3,-0.037,0.786,0.267,0.29400000000000004,-0.135,0.645,0.282,0.06299999999999994,-0.217,0.173,0.6172,0.655,0.477,0.32299999999999995,0.064,0.521,1.757,0.41000000000000003,0.0165,0.933,0.5003125,84.0
Nicolai Højgaard,0.037,0.445,313.0,0.912,0.5388,0.12,0.7937,0.271,0.472,0.88,0.6963,0.907,-0.103,0.972,0.304,0.21499999999999997,-0.13,0.628,0.0,0.825,-0.233,0.157,0.5122,0.01,0.66,0.0,0.193,0.711,1.747,0.536,0.0259,0.481,0.499155,85.0
Cameron Young,0.256,0.75,311.1,0.868,0.5175,0.049,0.7876,0.209,-0.499,0.076,0.6216,0.109,0.009,0.503,0.333,0.17600000000000005,-0.163,0.78,-0.053,0.876,-0.045,0.353,0.5651,0.142,0.397,0.741,0.434,0.913,1.718,0.875,0.0252,0.5489999999999999,0.4966225000000001,86.0
Jesper Svensson,0.576,0.945,317.8,0.967,0.5513,0.213,0.7863,0.192,-0.424,0.103,0.6405,0.284,0.053,0.266,0.211,0.481,-0.056,0.23199999999999998,-0.065,0.899,0.119,0.646,0.5818,0.262,0.487,0.30600000000000005,0.24,0.771,1.724,0.831,0.0283,0.345,0.494605,87.0
Kurt Kitayama,0.448,0.902,315.8,0.956,0.5414,0.131,0.7828,0.163,0.016,0.461,0.6495,0.393,0.022,0.43600000000000005,0.105,0.763,0.0,0.09699999999999998,-0.037,0.854,0.265,0.858,0.5925,0.366,0.535,0.11299999999999999,-0.406,0.114,1.745,0.585,0.0251,0.565,0.4943675,88.0
Joel Dahmen,0.157,0.603,297.9,0.311,0.6791,0.934,0.8345,0.79,0.51,0.896,0.6705,0.71,0.009,0.503,0.188,0.554,-0.06,0.243,0.103,0.43600000000000005,-0.164,0.233,0.6353,0.808,0.455,0.44099999999999995,-0.328,0.146,1.778,0.15400000000000003,0.0388,0.06799999999999995,0.4896374999999999,89.0
Mark Hubbard,0.028,0.434,300.5,0.459,0.6177,0.699,0.8158,0.593,0.08,0.532,0.6613,0.573,0.009,0.503,0.237,0.379,-0.074,0.29400000000000004,0.029,0.712,-0.206,0.19,0.6025,0.459,0.403,0.6950000000000001,-0.017,0.418,1.769,0.274,0.0224,0.741,0.48944499999999996,90.0
Danny Walker,0.068,0.472,306.8,0.743,0.5421,0.136,0.7929,0.265,0.235,0.663,0.6499,0.404,0.038,0.351,0.278,0.272,-0.079,0.32299999999999995,-0.067,0.904,0.176,0.728,0.6052,0.497,0.398,0.735,0.023,0.461,1.74,0.645,0.0349,0.13,0.48803750000000007,91.0
Viktor Hovland,0.095,0.521,300.1,0.437,0.6278,0.77,0.8252,0.694,0.65,0.951,0.6579,0.54,-0.024,0.712,0.478,0.03400000000000003,-0.159,0.775,0.143,0.356,-0.305,0.114,0.5769,0.229,0.449,0.475,-0.104,0.315,1.733,0.733,0.0322,0.20999999999999996,0.48796249999999997,92.0
Patrick Rodgers,-0.026,0.375,305.5,0.683,0.5698,0.333,0.7791,0.107,-0.251,0.211,0.6317,0.174,0.014,0.46399999999999997,0.276,0.277,-0.103,0.46399999999999997,0.196,0.19799999999999995,0.225,0.815,0.6472,0.89,0.357,0.893,0.156,0.646,1.743,0.613,0.0269,0.41900000000000004,0.485945,93.0
Alejandro Tosti,0.335,0.826,314.1,0.934,0.5678,0.316,0.8028,0.423,-0.101,0.336,0.6449,0.333,0.063,0.20399999999999996,0.059,0.848,0.0,0.09699999999999998,0.059,0.599,0.306,0.896,0.6054,0.508,0.424,0.616,-0.681,0.032,1.757,0.41000000000000003,0.0302,0.28300000000000003,0.485805,94.0
Greyson Sigg,0.079,0.483,294.6,0.163,0.629,0.775,0.8145,0.564,0.254,0.684,0.6626,0.612,0.089,0.11299999999999999,0.292,0.249,-0.274,1.0,0.067,0.56,0.054,0.548,0.6345,0.786,0.319,0.967,-0.52,0.065,1.806,0.03300000000000003,0.0285,0.31699999999999995,0.4846500000000001,95.0
Eric Cole,-0.324,0.152,297.7,0.295,0.5748,0.366,0.7715,0.079,0.158,0.603,0.6222,0.114,0.0,0.611,0.128,0.7070000000000001,-0.047,0.19799999999999995,0.15,0.31100000000000005,0.135,0.668,0.6239,0.688,0.372,0.831,0.071,0.538,1.73,0.782,0.0246,0.5880000000000001,0.48270250000000003,96.0
Taylor Montgomery,-0.46,0.081,302.7,0.562,0.51,0.038,0.7811,0.135,-0.482,0.081,0.6373,0.234,0.057,0.22599999999999998,0.231,0.396,-0.229,0.95,0.0,0.825,0.093,0.608,0.6128,0.584,0.378,0.8140000000000001,0.53,0.951,1.712,0.902,0.0278,0.396,0.48185500000000003,97.0
Max McGreevy,0.326,0.809,297.9,0.311,0.6676,0.901,0.8324,0.762,0.292,0.744,0.6656,0.672,0.097,0.08499999999999996,0.471,0.04600000000000004,-0.109,0.492,0.067,0.56,-0.135,0.277,0.5662,0.153,0.462,0.40700000000000003,-0.115,0.309,1.756,0.42100000000000004,0.0216,0.775,0.479505,98.0
Mackenzie Hughes,-0.142,0.255,300.6,0.464,0.5644,0.267,0.8015,0.389,-0.057,0.38,0.6508,0.415,0.021,0.44099999999999995,0.22,0.43600000000000005,-0.148,0.718,0.194,0.20399999999999996,0.28,0.875,0.625,0.71,0.398,0.735,0.028,0.467,1.767,0.31200000000000006,0.0248,0.5820000000000001,0.4789825000000001,99.0
Aldrich Potgieter,0.637,0.961,326.6,0.989,0.5373,0.109,0.7801,0.124,-0.272,0.195,0.6317,0.174,-0.029,0.724,0.1,0.769,0.0,0.09699999999999998,0.138,0.368,-0.459,0.043,0.5345,0.027,0.396,0.746,0.252,0.782,1.736,0.7050000000000001,0.0238,0.673,0.4779500000000001,100.0
Rikuya Hoshino,-0.084,0.309,297.6,0.289,0.5915,0.469,0.8106,0.514,-0.18,0.26,0.6291,0.163,0.0,0.611,0.107,0.758,-0.067,0.266,0.333,0.029000000000000026,0.005,0.467,0.6608,0.939,0.297,0.995,-0.12,0.304,1.745,0.585,0.0245,0.599,0.47741,101.0
Nate Lashley,-0.161,0.233,298.1,0.344,0.5848,0.415,0.8183,0.621,0.107,0.565,0.6508,0.415,0.0,0.611,0.091,0.786,-0.09,0.373,0.125,0.39,-0.13,0.293,0.6439,0.852,0.385,0.791,-0.08,0.331,1.801,0.07199999999999995,0.0251,0.565,0.47210250000000004,102.0
Chad Ramey,-0.185,0.217,292.1,0.103,0.6065,0.606,0.8287,0.728,-0.112,0.315,0.6619,0.59,0.0,0.611,0.357,0.136,-0.09,0.373,0.143,0.356,-0.188,0.201,0.6154,0.628,0.298,0.989,0.099,0.554,1.759,0.372,0.0177,0.882,0.4708175000000001,103.0
Max Greyserman,-0.161,0.233,307.0,0.759,0.5471,0.169,0.7609,0.033,-0.027,0.413,0.6375,0.24,0.055,0.23199999999999998,0.12,0.724,-0.075,0.30600000000000005,0.061,0.5880000000000001,0.041,0.521,0.574,0.218,0.454,0.45799999999999996,0.368,0.875,1.712,0.902,0.0226,0.735,0.47019500000000003,104.0
Adam Svensson,-0.087,0.298,293.8,0.131,0.645,0.836,0.824,0.683,0.015,0.456,0.6678,0.688,0.0,0.611,0.083,0.7969999999999999,-0.13,0.628,0.211,0.15300000000000002,0.19,0.744,0.5939,0.382,0.505,0.249,-0.467,0.092,1.795,0.09299999999999997,0.0204,0.8140000000000001,0.4692175,105.0
Nick Hardy,0.091,0.51,308.5,0.803,0.5625,0.262,0.8203,0.638,0.036,0.489,0.6832,0.797,0.029,0.385,0.0,0.944,-0.179,0.859,-0.059,0.893,-0.202,0.195,0.564,0.125,0.531,0.125,-0.286,0.173,1.785,0.10999999999999999,0.0255,0.515,0.4667125,106.0
Brian Harman,-0.045,0.342,292.1,0.103,0.6253,0.748,0.8145,0.564,0.03,0.472,0.6648,0.655,0.008,0.526,0.154,0.628,-0.031,0.14200000000000002,0.188,0.22599999999999998,0.112,0.641,0.6039,0.48,0.495,0.28300000000000003,0.015,0.456,1.758,0.394,0.0226,0.735,0.4660675000000001,107.0
Charley Hoffman,0.084,0.494,305.8,0.704,0.6082,0.628,0.8299,0.74,0.211,0.652,0.6627,0.622,0.034,0.368,0.313,0.19299999999999995,0.0,0.09699999999999998,0.033,0.6950000000000001,0.048,0.527,0.6196,0.672,0.43,0.5820000000000001,-0.787,0.016,1.77,0.263,0.0317,0.22599999999999998,0.46546000000000004,108.0
Brian Campbell,-0.959,0.021,275.6,0.0,0.6649,0.89,0.8368,0.824,0.346,0.782,0.6376,0.251,-0.065,0.899,0.467,0.051000000000000045,-0.032,0.14700000000000002,0.615,0.0,0.342,0.913,0.5839,0.284,0.453,0.46399999999999997,0.168,0.668,1.728,0.815,0.0304,0.272,0.46431,109.0
Antoine Rozner,0.061,0.461,306.5,0.737,0.578,0.387,0.8102,0.508,0.496,0.891,0.6912,0.874,-0.072,0.921,0.217,0.45199999999999996,-0.106,0.475,0.25,0.09099999999999997,-0.327,0.092,0.5649,0.136,0.455,0.44099999999999995,-0.286,0.173,1.751,0.481,0.0284,0.33399999999999996,0.46395499999999995,110.0
Michael Thorbjornsen,0.437,0.891,316.0,0.961,0.5919,0.48,0.841,0.864,-0.034,0.402,0.6978,0.923,0.061,0.20999999999999996,0.409,0.10799999999999998,-0.122,0.5820000000000001,-0.087,0.944,-0.374,0.065,0.5426,0.049,0.426,0.605,-0.392,0.125,1.775,0.18600000000000005,0.0298,0.29400000000000004,0.46267749999999996,111.0
Beau Hossler,-0.455,0.086,304.5,0.622,0.5134,0.043,0.7433,0.022,-0.343,0.152,0.6049,0.043,0.008,0.526,0.237,0.379,-0.102,0.45199999999999996,0.214,0.14200000000000002,0.48,0.967,0.625,0.71,0.385,0.791,0.154,0.635,1.733,0.733,0.0185,0.865,0.4588425,112.0
Jhonattan Vegas,0.227,0.684,306.9,0.754,0.5532,0.224,0.8106,0.514,0.113,0.57,0.6615,0.584,-0.011,0.656,-0.032,0.95,-0.118,0.56,0.05,0.639,0.01,0.472,0.5802,0.245,0.528,0.136,-0.241,0.19,1.781,0.132,0.0349,0.13,0.45806499999999994,113.0
Adam Scott,0.227,0.684,301.8,0.491,0.5661,0.295,0.8143,0.559,-0.199,0.25,0.6375,0.24,-0.049,0.842,0.4,0.119,-0.058,0.238,0.206,0.17000000000000004,0.208,0.788,0.5824,0.273,0.434,0.565,-0.021,0.407,1.745,0.585,0.0236,0.6950000000000001,0.457645,114.0
Xander Schauffele,-0.115,0.282,308.8,0.825,0.5258,0.081,0.7778,0.101,0.681,0.961,0.662,0.595,0.0,0.611,0.2,0.515,-0.107,0.481,0.0,0.825,-0.014,0.429,0.5616,0.114,0.519,0.18700000000000006,-0.215,0.217,1.762,0.356,0.0201,0.825,0.457495,115.0
Isaiah Salinda,0.495,0.918,311.5,0.879,0.5992,0.524,0.792,0.248,-0.173,0.271,0.6711,0.715,0.0,0.611,0.182,0.577,-0.085,0.345,0.087,0.46399999999999997,0.028,0.505,0.6,0.426,0.52,0.17600000000000005,-0.325,0.152,1.758,0.394,0.0482,0.006000000000000005,0.45684749999999996,116.0
Ben Silverman,-0.159,0.244,299.4,0.409,0.5907,0.453,0.8,0.35,-0.429,0.092,0.6311,0.169,-0.011,0.656,0.174,0.5880000000000001,-0.114,0.5369999999999999,0.043,0.667,0.2,0.782,0.6255,0.721,0.465,0.39,0.081,0.548,1.781,0.132,0.0242,0.633,0.45528500000000005,117.0
Wyndham Clark,0.141,0.581,311.6,0.89,0.5646,0.273,0.7871,0.203,-0.406,0.108,0.6378,0.256,0.082,0.13,0.19,0.5429999999999999,-0.146,0.7070000000000001,0.143,0.356,0.197,0.777,0.587,0.327,0.517,0.19799999999999995,0.117,0.581,1.734,0.716,0.0267,0.43000000000000005,0.4486125,118.0
Seamus Power,-0.016,0.391,298.3,0.349,0.6168,0.672,0.8024,0.406,0.083,0.543,0.6481,0.366,0.047,0.28900000000000003,0.519,0.017000000000000015,-0.096,0.41900000000000004,0.033,0.6950000000000001,0.152,0.69,0.6316,0.765,0.391,0.769,-0.236,0.195,1.778,0.15400000000000003,0.0278,0.396,0.44364750000000003,119.0
Byeong Hun An,0.329,0.815,305.9,0.71,0.5497,0.202,0.7832,0.169,-0.34,0.157,0.6379,0.262,0.096,0.09699999999999998,-0.037,0.961,-0.141,0.673,0.053,0.628,0.171,0.722,0.5863,0.322,0.634,0.006000000000000005,-0.394,0.119,1.734,0.716,0.0258,0.492,0.443225,120.0
Ben Martin,-0.118,0.277,296.1,0.218,0.6174,0.693,0.831,0.745,0.183,0.625,0.6703,0.704,0.043,0.32799999999999996,0.471,0.04600000000000004,-0.111,0.509,0.2,0.19299999999999995,-0.247,0.152,0.6141,0.601,0.509,0.23199999999999998,-0.026,0.396,1.751,0.481,0.0197,0.831,0.43637250000000005,121.0
Noah Goodwin,-0.022,0.38,300.0,0.431,0.6378,0.814,0.8327,0.768,-0.162,0.288,0.6532,0.453,0.011,0.481,0.286,0.26,0.043,0.040000000000000036,0.053,0.628,0.003,0.456,0.6147,0.617,0.382,0.8029999999999999,-0.173,0.244,1.77,0.263,0.036,0.10799999999999998,0.4351725,122.0
Ludvig Åberg,0.516,0.923,310.3,0.857,0.5924,0.491,0.797,0.293,-0.025,0.423,0.655,0.475,-0.013,0.6619999999999999,0.429,0.06299999999999994,-0.064,0.255,0.227,0.13,-0.133,0.288,0.6105,0.546,0.522,0.17000000000000004,-0.144,0.271,1.744,0.602,0.031,0.26,0.434275,123.0
Kaito Onishi,-0.177,0.222,299.9,0.426,0.598,0.513,0.804,0.435,-0.379,0.13,0.6284,0.142,0.0,0.611,0.167,0.605,-0.125,0.599,0.077,0.509,0.049,0.538,0.6495,0.907,0.326,0.955,-0.349,0.141,1.802,0.050000000000000044,0.0326,0.18700000000000006,0.42610750000000003,124.0
Niklas Norgaard,0.616,0.956,320.0,0.983,0.5045,0.027,0.7909,0.231,0.036,0.489,0.6892,0.836,0.026,0.40700000000000003,0.25,0.356,-0.111,0.509,-0.032,0.842,-0.362,0.076,0.5475,0.071,0.6,0.017000000000000015,0.037,0.483,1.751,0.481,0.0417,0.02300000000000002,0.42426500000000006,125.0
Matt Wallace,-0.004,0.413,305.3,0.672,0.5723,0.349,0.8203,0.638,-0.226,0.233,0.6396,0.273,0.14,0.02300000000000002,0.5,0.029000000000000026,-0.136,0.6619999999999999,0.208,0.16400000000000003,0.771,1.0,0.675,0.972,0.35,0.91,-0.355,0.135,1.8,0.08199999999999996,0.048,0.01200000000000001,0.41234750000000003,126.0
Tim Widing,0.002,0.418,309.7,0.852,0.5411,0.125,0.7947,0.282,-0.244,0.217,0.637,0.229,0.08,0.136,0.0,0.944,-0.189,0.882,-0.154,0.989,-0.308,0.103,0.5051,0.005,0.578,0.040000000000000036,-0.418,0.108,1.73,0.782,0.0222,0.752,0.41117250000000005,127.0
Patton Kizzire,-0.333,0.141,294.7,0.174,0.5873,0.431,0.7817,0.146,-0.046,0.391,0.6204,0.103,0.063,0.20399999999999996,0.136,0.673,-0.075,0.30600000000000005,-0.214,0.995,0.324,0.907,0.6138,0.59,0.411,0.656,-0.472,0.086,1.739,0.667,0.037,0.09699999999999998,0.40958750000000005,128.0
Mac Meissner,-0.476,0.065,300.1,0.437,0.5652,0.284,0.7652,0.062,0.238,0.673,0.6178,0.087,0.044,0.31699999999999995,0.222,0.43000000000000005,-0.078,0.31699999999999995,0.0,0.825,0.224,0.804,0.6483,0.901,0.476,0.32799999999999996,-0.134,0.288,1.773,0.235,0.0278,0.396,0.40668750000000004,129.0
Cristobal Del Solar,-0.454,0.092,299.8,0.42,0.5254,0.076,0.791,0.237,-0.477,0.086,0.6336,0.196,0.028,0.396,0.067,0.825,-0.102,0.45199999999999996,-0.08,0.938,-0.331,0.086,0.5369,0.038,0.516,0.20399999999999996,0.421,0.902,1.732,0.744,0.0135,0.984,0.40547,130.0
Chandler Phillips,-0.201,0.206,296.9,0.245,0.6113,0.65,0.8056,0.457,0.053,0.51,0.6327,0.185,0.046,0.29400000000000004,0.208,0.486,-0.169,0.8200000000000001,0.242,0.09699999999999998,0.0,0.451,0.6019,0.448,0.527,0.14700000000000002,-0.164,0.25,1.744,0.602,0.0238,0.673,0.4054575,131.0
Patrick Fishburn,0.306,0.782,305.3,0.672,0.5386,0.114,0.8151,0.581,-0.067,0.369,0.6877,0.825,0.11,0.051000000000000045,0.217,0.45199999999999996,-0.195,0.893,0.227,0.13,-0.166,0.222,0.585,0.3,0.439,0.526,-0.151,0.255,1.801,0.07199999999999995,0.0284,0.33399999999999996,0.40451499999999996,132.0
Justin Lower,-0.073,0.326,297.9,0.311,0.6317,0.797,0.8197,0.627,-0.073,0.364,0.6413,0.289,0.106,0.06799999999999995,0.55,0.006000000000000005,-0.128,0.605,0.111,0.41300000000000003,-0.399,0.059,0.6027,0.469,0.51,0.22099999999999997,0.199,0.728,1.738,0.6890000000000001,0.0254,0.526,0.40418,133.0
Luke List,0.517,0.929,311.6,0.89,0.5993,0.53,0.8232,0.677,-0.762,0.038,0.6382,0.267,0.129,0.03400000000000003,0.185,0.565,-0.044,0.18700000000000006,0.091,0.45199999999999996,-0.211,0.184,0.6071,0.519,0.408,0.673,-0.177,0.239,1.806,0.03300000000000003,0.031,0.26,0.40307499999999996,134.0
David Skinns,-0.464,0.076,308.1,0.781,0.5223,0.06,0.7862,0.186,0.008,0.451,0.6595,0.562,-0.034,0.775,0.316,0.18700000000000006,-0.167,0.8029999999999999,-0.074,0.921,-0.003,0.445,0.5816,0.256,0.517,0.19799999999999995,0.014,0.451,1.762,0.356,0.0342,0.14700000000000002,0.40303249999999996,135.0
John Pak,-0.435,0.108,287.8,0.049,0.6537,0.868,0.8026,0.412,0.41,0.836,0.6444,0.316,0.057,0.22599999999999998,0.231,0.396,-0.132,0.633,0.167,0.266,-0.043,0.358,0.6146,0.612,0.402,0.718,-0.506,0.076,1.774,0.20799999999999996,0.0284,0.33399999999999996,0.39666250000000003,136.0
Tom Kim,-0.126,0.271,301.8,0.491,0.6014,0.546,0.8014,0.378,0.233,0.657,0.6285,0.147,0.132,0.029000000000000026,0.148,0.645,-0.129,0.611,0.158,0.28300000000000003,0.071,0.565,0.6012,0.442,0.44,0.52,-0.224,0.206,1.773,0.235,0.0349,0.13,0.3843475,137.0
Joe Highsmith,-0.085,0.304,297.0,0.262,0.6042,0.59,0.7825,0.158,-0.207,0.244,0.6042,0.027,-0.035,0.78,0.158,0.622,0.071,0.017000000000000015,0.273,0.07399999999999995,-0.174,0.206,0.5731,0.207,0.474,0.33899999999999997,0.265,0.798,1.72,0.858,0.0266,0.44699999999999995,0.38331,138.0
